genres,app_name,release_date,price,id,developer
"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,2018-01-03,1.99,773690.0,Apillo
"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,2018-01-03,59.99,774279.0,Poppermost Productions
"['Early Access', 'Indie', 'VR']",After Life VR,2016-04-21,4.99,772590.0,
"['Early Access', 'Action', 'Adventure', 'Indie', 'Casual']",Kitty Hawk,2016-04-21,2.99,640250.0,
"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,2018-01-03,0.99,768060.0,Tero Lunkka
"['Early Access', 'Strategy', 'Action', 'Indie', 'Casual', 'VR']",Mortars VR,2016-04-21,0.99,711440.0,
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2017-12-22,2.99,775880.0,FrozenPepper
"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2017-12-23,2.99,775881.0,FrozenPepper
"['Action', 'Indie']",DinoBlaster,2018-01-03,4.99,653960.0,Casey Labrack
"['Design & Illustration', 'Tutorial']",Robotpencil Presents: Understanding 3D for Concept,2018-01-03,4.99,777910.0,
"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,1997-06-30,9.99,282010.0,Stainless Games Ltd
['Action'],Half-Life,1998-11-08,9.99,70.0,Valve
"['Action', 'Indie', 'RPG']",Fallen Mage,2016-11-25,1.99,752360.0,dev4play
"['Action', 'Indie', 'VR']",Don't Get Hit In The Face,2016-04-21,3.99,594200.0,
"['Casual', 'Indie', 'Strategy']",Lost Cities,2018-01-01,4.99,520680.0,BlueLine Games
['Action'],Twisted Enhanced Edition,2018-01-01,4.99,690410.0,Games by Brundle
"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,2018-01-01,0.99,766850.0,ETGgames
"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']",Tactics Forever,2018-01-01,4.99,413120.0,ProjectorGames
"['Adventure', 'Casual', 'Indie']",Christmas Santa Troubles,2017-12-30,4.99,773120.0,Unknown Indie Devs
"['Action', 'Free to Play', 'Strategy']",Kingdom Watcher,2016-04-21,4.99,680970.0,
"['Action', 'Adventure', 'RPG']",Underdone - Soundtrack,2018-01-01,8.99,754360.0,The Commander
"['Adventure', 'Casual', 'Indie', 'RPG']",Bitcoin Clicker,2018-01-01,0.99,716110.0,"lalalaZero,Urbanoff"
['Strategy'],Disciples II: Gallean's Return,2006-07-06,6.99,1640.0,Strategy First
['Strategy'],Disciples II: Rise of the Elves,2006-07-06,6.99,1630.0,Strategy First
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,2006-07-11,9.99,2400.0,Outerlight Ltd.
['Strategy'],United Tactics,2016-04-21,4.99,662570.0,Zachary M Thomas
"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",Life of Rome,2017-01-01,4.99,381620.0,Breakout Studio
"['Adventure', 'Free to Play', 'RPG', 'Early Access']",Idle Adventure,2016-04-21,4.99,714020.0,"zha7,Phaedruns,Yingke Wu"
"['Early Access', 'Indie', 'Action', 'VR']",Panoptic,2016-04-21,4.99,541930.0,
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,2017-12-29,7.99,759920.0,Ultraint
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Darkness and a Crowd,2018-03-30,4.99,659780.0,Seth Albertus
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,2017-12-29,10.99,603280.0,TPM.CO SOFT WORKS
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,2017-12-29,9.99,753110.0,Wonderbox Games
"['Action', 'Indie']",Orbitality,2017-12-29,9.99,753100.0,Wonderbox Games
['Education'],Medicalholodeck Personal Version,2016-04-21,29.99,769350.0,
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,2017-12-30,1.99,764280.0,Mad Unicorn Games
"['Simulation', 'Sports', 'Casual', 'Indie', 'Golf', 'VR']",Golf Masters,2016-04-21,4.99,374970.0,
"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,0.99,758550.0,Emanon Studios
['Action'],Advent Rising,2005-08-09,9.99,3800.0,GlyphX Games
"['Indie', 'Strategy']",DEFCON,2006-09-29,9.99,1520.0,Introversion Software
"['Action', 'Indie', 'RPG']",The Ship: Single Player,2006-11-20,9.99,2420.0,Outerlight Ltd.
"['Indie', 'Simulation']",Garry's Mod,2006-11-29,9.99,4000.0,Facepunch Studios
['Racing'],RACE - The WTCC Game,2006-11-24,39.99,4230.0,SimBin
"['Casual', 'Indie']",Zen of Sudoku,2006-12-14,0.0,4900.0,Unknown Worlds Entertainment
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,2006-12-19,4.99,2520.0,"CINEMAX, s.r.o."
['Strategy'],Ghost Master®,2003-08-23,4.99,6200.0,Sick Puppies
['Strategy'],Vegas: Make It Big™,2006-12-21,4.99,6210.0,Deepred
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,2006-04-17,19.99,6300.0,Funcom
['Racing'],FlatOut 2™,2006-08-01,9.99,2990.0,Bugbear Entertainment
['Racing'],FlatOut,2005-07-12,7.49,6220.0,Bugbear Entertainment
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,2007-06-26,14.99,6510.0,"CAPCOM Co., Ltd."
['Strategy'],CivCity: Rome,2006-07-24,9.99,3980.0,"FireFly Studios,Firaxis Games"
['RPG'],Arx Fatalis,2002-11-12,4.99,1700.0,Arkane Studios
"['Action', 'Adventure', 'RPG']",The Longest Journey,2000-11-17,9.99,6310.0,Funcom
['Strategy'],Civilization IV®: Warlords,2006-07-24,4.99,3990.0,Firaxis Games
['Strategy'],Railroad Tycoon 3,2003-10-23,9.99,7610.0,PopTop
['Strategy'],Sid Meier's Railroads!,2006-10-16,9.99,7600.0,"Firaxis Games,Feral Interactive (Mac)"
['Strategy'],Railroad Tycoon II Platinum,1998-10-31,4.99,7620.0,PopTop
"['Casual', 'Indie']",RIP - Trilogy™,2007-06-01,4.99,2540.0,Elephant Games
['Strategy'],X-COM: Terror From the Deep,1995-04-01,4.99,7650.0,"MicroProse Software, Inc"
"['Action', 'Adventure']",Tomb Raider: Anniversary,2007-06-05,8.99,8000.0,"Crystal Dynamics,Feral Interactive (Mac)"
['Action'],Devil May Cry® 3 Special Edition,2006-05-23,19.99,6550.0,"CAPCOM Co., Ltd."
"['Action', 'Adventure']",Sam & Max 101: Culture Shock,2006-10-17,19.99,8200.0,Telltale Games
['Action'],Final DOOM,1996-06-17,4.99,2290.0,id Software
"['Indie', 'RPG']",Vigil: Blood Bitterness™,2007-06-29,4.99,2570.0,Freegamer
"['Action', 'Adventure']",Sam & Max 102: Situation: Comedy,2006-12-20,19.99,8210.0,Telltale Games
['Action'],Ultimate Doom,1995-04-30,4.99,2280.0,id Software
['Action'],Master Levels for Doom II,1995-06-01,14.99,9160.0,id Software
['Action'],DOOM II,1994-05-05,4.99,2300.0,id Software
['Action'],Wolfenstein 3D,1994-08-03,4.99,2270.0,id Software
['Action'],Return to Castle Wolfenstein,2001-11-20,4.99,9010.0,Gray Matter Studios
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,2.99,9040.0,Ritual Entertainment
['Action'],Spear of Destiny,1993-10-10,2.99,9000.0,id Software
['Action'],BloodRayne,2003-09-09,9.99,3810.0,Terminal Reality
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,2.99,9030.0,Rogue Entertainment
['Action'],QUAKE,2007-05-31,4.99,2310.0,id Software
['Strategy'],Genesis Rising,2007-03-20,4.99,3230.0,Metamorf
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,12.99,9310.0,Relic Entertainment
"['Action', 'RPG']",BioShock™,2007-08-21,19.99,7670.0,"2K Boston,2K Australia"
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,12.99,4570.0,Relic Entertainment
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,12.99,4580.0,Relic Entertainment
['Strategy'],Rome: Total War™ - Collection,2004-09-22,9.99,4760.0,The Creative Assembly
['Strategy'],Rome: Total War™ - Alexander,2006-06-26,4.99,4770.0,The Creative Assembly
['Casual'],Mystery Case Files: Madame Fate®,2007-12-14,6.99,50970.0,Big Fish Games
['Action'],Grand Theft Auto,1998-06-30,4.99,12170.0,Rockstar North
['Action'],Grand Theft Auto 2,1999-10-25,4.99,12180.0,Rockstar North
['Action'],Manhunt,2004-04-20,9.99,12130.0,Rockstar North
['Racing'],Midnight Club 2,2003-07-01,9.99,12160.0,Rockstar San Diego
['Action'],Max Payne 2: The Fall of Max Payne,2003-10-14,9.99,12150.0,Remedy Entertainment
"['Action', 'Adventure']",Tomb Raider: Legend,2006-04-07,6.99,7000.0,Crystal Dynamics
['Action'],Max Payne,2001-07-25,9.99,12140.0,Remedy Entertainment
['Strategy'],Command & Conquer: Red Alert 3,2008-10-28,19.99,17480.0,EA Los Angeles
['Casual'],PuzzleQuest: Challenge of the Warlords,2007-10-10,9.99,12500.0,Infinite Interactive
"['RPG', 'Casual', 'Adventure']",Culpa Innata,2007-10-23,9.99,12310.0,Momentum Digital Media Technologies
['Strategy'],Prison Tycoon 3™: Lockdown,2007-08-01,9.99,12510.0,"Gamebryo,Virtual Playground"
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,2007-09-01,9.99,12530.0,SCS Software
['Racing'],18 Wheels of Steel: American Long Haul,2007-12-03,9.99,12520.0,SCS Software
['Action'],Conflict: Denied Ops,2008-02-08,5.99,8100.0,Pivotal Games
['Action'],ARMA: Combat Operations,2007-05-08,7.99,2780.0,Bohemia Interactive
['Simulation'],Tycoon City: New York,2006-02-21,9.99,9730.0,Retroism
['Action'],Desperados 2: Cooper's Revenge,2006-05-02,9.99,9710.0,Spellbound
"['Action', 'Adventure']",Death to Spies,2007-10-16,4.99,9800.0,Haggard Games
['Action'],Act of War: High Treason,2006-05-30,2.99,9760.0,Eugen Systems
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,2006-10-26,19.99,2700.0,"Frontier,Aspyr (Mac)"
['Action'],Act of War: Direct Action,2005-03-14,2.99,2710.0,Eugen Systems
['Action'],Unreal 2: The Awakening,2003-02-03,14.99,13200.0,"Epic Games, Inc."
['Action'],Unreal Gold,1998-04-30,9.99,13250.0,"Epic Games, Inc."
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,2008-03-21,4.99,13000.0,Sanzaru Games
['Action'],Tom Clancy's Splinter Cell®,2003-02-18,9.99,13560.0,Ubisoft
['Action'],Far Cry®,2004-03-23,9.99,13520.0,Crytek Studios
['Action'],Unreal Tournament: Game of the Year Edition,2000-10-25,9.99,13240.0,"Epic Games, Inc."
['Action'],Tom Clancy's Rainbow Six® Vegas,2006-12-12,9.99,13540.0,Ubisoft Montreal
['Simulation'],Silent Hunter® III,2005-03-15,9.99,15210.0,Ubisoft
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,2008-05-28,9.99,16180.0,Last Day of Work
['Casual'],Mystery P.I.™ - The Vegas Heist,2008-06-04,4.99,3520.0,SpinTop Games
['Casual'],Luxor,2008-06-10,9.99,15970.0,MumboJumbo
['Casual'],Reaxxion,2008-06-10,9.99,15950.0,MumboJumbo
['Casual'],Little Farm,2008-06-10,9.99,15960.0,MumboJumbo
['Casual'],7 Wonders II,2008-06-10,9.99,15900.0,MumboJumbo
['Casual'],Luxor Amun Rising,2005-12-08,9.99,15910.0,MumboJumbo
['Casual'],Luxor 3,2007-11-13,9.99,15930.0,MumboJumbo
['Simulation'],Petz® Horsez® 2,2007-11-13,9.99,15160.0,Ubisoft
['Casual'],Luxor 2,2005-12-08,9.99,15920.0,MumboJumbo
"['Action', 'Adventure']",Rayman Raving Rabbids™,2007-03-27,9.99,15080.0,"Ubisoft Bulgaria,Ubisoft Montpellier"
['Simulation'],Silent Hunter®: Wolves of the Pacific,2007-03-20,9.99,15200.0,Ubisoft Romania
['Simulation'],IL-2 Sturmovik: 1946,2006-12-15,9.99,15320.0,1C: Maddox Games
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,9.99,15240.0,Ubisoft Romania
['Adventure'],Bone: Out From Boneville,2005-09-15,9.99,8310.0,Telltale Games
['Racing'],Midnight Outlaw: 6 Hours to SunUp,2005-07-02,9.99,12600.0,"Merscom,Babylon"
['Adventure'],Bone: The Great Cow Race,2006-04-12,9.99,8320.0,Telltale Games
['Racing'],Sprint Cars Road to Knoxville,2008-07-29,9.99,12590.0,BigAnt Studios
['Casual'],Dr. Daisy Pet Vet,2008-01-08,9.99,12580.0,Zemnott
['Simulation'],Ride! Carnival Tycoon,2007-07-02,9.99,12560.0,Gabriel Entertainment
['Casual'],Hot Dish,2008-01-12,9.99,12570.0,Zemnott
['Casual'],Mahjongg Investigations: Under Suspicion,2007-08-08,9.99,12540.0,Zemnott
['Adventure'],Dracula Origin,2008-05-20,9.99,11050.0,Frogwares
['Sports'],Beijing 2008™ - The Official Video Game of the Olympic Games,2008-07-08,4.99,10520.0,Eurocom
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,2008-04-14,9.99,11040.0,Frogwares
"['Adventure', 'Indie']",Eternity's Child,2008-07-31,4.99,19500.0,"Luc Bernard,SilverSphereStudios"
"['Simulation', 'Strategy']",Pacific Storm Allies,2007-05-25,7.99,11260.0,Lesta Studio
"['Action', 'Indie']",Tank Universal,2008-08-21,4.99,19200.0,Dialogue Design
['Racing'],FlatOut: Ultimate Carnage,2008-08-19,19.99,12360.0,Bugbear Entertainment
['Adventure'],Oddworld: Abe's Exoddus®,1998-11-17,2.99,15710.0,Oddworld Inhabitants
['Adventure'],Oddworld: Abe's Oddysee®,1997-12-12,2.99,15700.0,Oddworld Inhabitants
['Racing'],GTR Evolution Expansion Pack for RACE 07,2008-09-01,7.99,8660.0,SimBin
['Strategy'],X-COM: Enforcer,2001-04-19,4.99,7770.0,"MicroProse Software, Inc"
['Strategy'],X-COM: Apocalypse,1997-07-15,4.99,7660.0,"MicroProse Software, Inc"
['Strategy'],X-COM: UFO Defense,1993-12-31,4.99,7760.0,"MicroProse Software, Inc"
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,2008-09-15,9.99,20510.0,GSC Game World
['Action'],Crysis Warhead®,2008-09-17,19.99,17330.0,Crytek
['Action'],Crysis,2007-11-13,19.99,17300.0,Crytek
['Strategy'],X-COM: Interceptor,1998-06-15,4.99,7730.0,"MicroProse Software, Inc"
"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,2008-09-16,9.99,20900.0,CD PROJEKT RED
['Indie'],Multiwinia,2008-09-19,9.99,1530.0,Introversion Software
['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,2.99,8690.0,SimBin
"['Strategy', 'Simulation']",Children of the Nile: Alexandria,2008-08-28,2.49,17120.0,"Tilted Mill Entertainment, Inc."
['Strategy'],Sid Meier's Civilization IV: Colonization,2008-09-23,19.99,16810.0,Firaxis Games
['Action'],Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,9.99,19830.0,"Red Storm Entertainment,Ubisoft Montreal"
"['Action', 'Adventure']",LEGO Batman,2008-09-29,19.99,21000.0,Traveller's Tales
"['Simulation', 'Strategy']",City Life 2008,2008-07-18,9.99,4460.0,Monte Cristo
"['RPG', 'Strategy']",Hinterland,2008-09-30,9.99,17140.0,"Tilted Mill Entertainment, Inc."
['Action'],Brothers in Arms: Hell's Highway™,2008-10-08,9.99,15390.0,Gearbox Software
"['Indie', 'Casual']",Gravitron 2,2008-08-31,4.99,21300.0,Dark Castle Software
['Racing'],Xpand Rally Xtreme,2006-12-01,4.99,3050.0,Techland
['Strategy'],Heroes of Might & Magic V: Hammers of Fate,2006-11-14,9.99,15380.0,Nival
['Action'],Brothers in Arms: Earned in Blood™,2005-10-04,9.99,19800.0,Gearbox Software
['Strategy'],Heroes of Might & Magic V: Tribes of the East,2007-10-16,9.99,15370.0,Nival
['Strategy'],The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,19.99,19930.0,Blue Byte
['Casual'],Brain Spa,2007-09-25,9.99,15350.0,Ubisoft
['Action'],The Sum of All Fears,2002-05-31,9.99,19810.0,Red Storm Entertainment
['Casual'],Peggle™ Nights,2008-10-15,4.99,3540.0,"PopCap Games, Inc."
['Indie'],World of Goo,2008-10-13,9.99,22000.0,2D BOY
"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,2008-10-16,15.99,2820.0,Egosoft
['Action'],Mare Nostrum,2008-10-17,0.0,1230.0,Sandstorm Productions
"['Casual', 'Indie']",Spectraball,2008-10-20,4.99,18300.0,Shorebound Studios
"['Indie', 'Casual', 'Sports']",Galactic Bowling,2008-10-21,19.99,20200.0,Perpetual FX Creative
"['Action', 'Adventure']",Bully: Scholarship Edition,2008-10-21,14.99,12200.0,Rockstar New England
['Action'],Far Cry® 2: Fortune's Edition,2008-10-22,9.99,19900.0,Ubisoft Montreal
"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,2008-10-23,4.99,11240.0,Meridian4
['Simulation'],PRR Wagon Pack 01,2009-01-01,4.99,256522.0,RailSimulator.com
['Simulation'],"Class 421 London South East ""Jaffa Cake""",2009-01-01,4.99,275144.0,RailSimulator.com
['Simulation'],ATSF Wagon Pack 01,2009-01-01,4.99,256521.0,RailSimulator.com
['Simulation'],GP20 Union Pacific Add-on Livery,2009-01-01,4.99,222569.0,Reppo
['Simulation'],UK Van Wagon Pack,2009-01-01,4.99,256535.0,RailSimulator.com
['Simulation'],CSX SD70MAC Add-on Livery,2009-01-01,4.99,256611.0,Dovetail Games
['Simulation'],CSX ES44AC Add-on Livery,2009-01-01,4.99,256576.0,Dovetail Games
['Action'],Saints Row 2,2009-01-28,9.99,9480.0,Volition
['Action'],Dead Space,2008-10-20,19.99,17470.0,EA Redwood Shores
['RPG'],Rise of the Argonauts,2008-12-16,9.99,12770.0,Liquid Entertainment
"['Action', 'Adventure']",Mirror's Edge™,2009-01-13,19.99,17410.0,DICE
"['Indie', 'Strategy']",Defense Grid: The Awakening,2008-12-08,9.99,18500.0,Hidden Path Entertainment
['Action'],F.E.A.R. 2: Project Origin,2009-02-12,14.99,16450.0,Monolith
"['Strategy', 'Indie']",Harvest: Massive Encounter,2008-03-05,7.99,15400.0,Oxeye Game Studio
"['Indie', 'Strategy']",Mayhem Intergalactic,2007-07-04,9.99,18600.0,Inventive Dingo
"['Action', 'Indie']",Larva Mortus,2009-03-19,4.99,11340.0,Meridian4
['Strategy'],Knights of Honor,2005-05-10,9.99,25830.0,Black Sea Studios Ltd
"['Action', 'Adventure', 'Strategy']",Ceville,2009-02-27,5.99,23460.0,Realmforge Studios
['Strategy'],Empire: Total War™ - Special Forces Units & Bonus Content,2009-03-04,2.99,10600.0,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
['Action'],Watchmen: The End is Nigh,2009-03-04,4.99,21010.0,Deadline Games
"['Action', 'Adventure', 'Indie']",Penumbra Overture,2007-03-30,9.99,22180.0,Frictional Games
['Action'],Unreal Tournament 3 Black,2007-11-19,19.99,13210.0,"Epic Games, Inc."
['RPG'],Drakensang,2009-02-27,9.99,12640.0,Radon Labs
"['Casual', 'Strategy']",Age of Booty™,2009-03-09,4.99,21600.0,Certain Affinity™
"['Indie', 'Simulation']",The Graveyard,2008-03-21,4.99,27020.0,Tale of Tales
['Racing'],Burnout Paradise: The Ultimate Box,2009-02-03,19.99,24740.0,Criterion Games
['Action'],Zombie Master,2009-03-11,4.99,90047.0,Zombie Master Team
"['Action', 'Indie']",The Maw,2009-03-09,9.99,26000.0,Twisted Pixel Games
"['Action', 'Indie']",The Maw: River Redirect,2009-03-16,1.25,26006.0,Twisted Pixel Games
"['Action', 'Indie']",The Maw: Brute Force,2009-03-16,1.25,26005.0,Twisted Pixel Games
"['Casual', 'Indie']",Obulis,2009-03-19,4.99,11330.0,IonFX
['Indie'],Space Giraffe,2009-03-19,9.99,27800.0,Llamasoft LTD
"['Simulation', 'Strategy']",Codename: Panzers - Cold War,2009-03-10,14.99,9850.0,"InnoGlow,Stormregion,THQ Nordic"
['Casual'],Escape Rosecliff Island,2009-04-15,4.99,3600.0,SpinTop Games
"['RPG', 'Massively Multiplayer']",Guild Wars Nightfall,2006-10-27,19.99,29580.0,ArenaNet®
"['RPG', 'Massively Multiplayer']",Guild Wars,2005-04-28,19.99,29540.0,ArenaNet®
"['RPG', 'Massively Multiplayer']",Guild Wars Factions,2006-04-28,19.99,29560.0,ArenaNet®
"['Massively Multiplayer', 'RPG']",Guild Wars Trilogy,2008-09-25,29.99,29570.0,ArenaNet®
['Casual'],Puzzle Kingdoms,2009-04-16,14.99,23700.0,Infinite Interactive
['Casual'],Samantha Swift and the Golden Touch,2009-04-29,9.99,16060.0,MumboJumbo
['RPG'],Two Worlds Epic Edition,2009-04-30,9.99,1930.0,Reality Pump Studios
['Strategy'],Helldorado,2009-04-30,9.99,18470.0,Spellbound
"['Action', 'Adventure', 'RPG']",X-Blades,2009-02-10,9.99,7510.0,Gaijin Entertainment
"['Action', 'Indie']",Zeno Clash,2009-04-21,9.99,22200.0,ACE Team
['Indie'],The Maw: Speeder Lane,2009-04-29,1.25,26007.0,Twisted Pixel Games
"['RPG', 'Strategy']",King's Bounty: The Legend,2008-09-23,6.99,25900.0,1C Company
"['Casual', 'Simulation']",Virtual Families,2009-05-06,9.99,16200.0,Last Day of Work
['Racing'],Death Track®: Resurrection,2009-05-06,2.99,7840.0,Sky Fallen
"['RPG', 'Strategy']",Freedom Force vs. the Third Reich,2005-03-08,4.99,8890.0,Irrational Games
"['RPG', 'Strategy']",Freedom Force,2002-03-26,4.99,8880.0,Irrational Games
"['Indie', 'Simulation', 'Strategy']",Light of Altair,2009-06-04,14.99,34500.0,SaintXi
"['Action', 'Simulation']",Darkest Hour: Europe '44-'45,2009-06-09,0.0,1280.0,Darklight Games
"['Action', 'Adventure']",Prototype™,2009-06-10,19.99,10150.0,Radical Entertainment
"['Adventure', 'Indie']",Blueberry Garden,2009-06-01,4.99,29160.0,Erik Svedäng
['Strategy'],Port Royale 2,2004-04-30,4.99,12470.0,Ascaron Entertainment ltd.
"['Horror', 'Lovecraftian', 'Survival Horror', 'First-Person', 'Based On A Novel', 'FPS', 'Adventure', 'Atmospheric', 'Stealth', 'Singleplayer', 'Story Rich', 'Action', 'Classic', 'Survival', 'Shooter', 'Difficult', 'Gore', 'Dark']",Call of Cthulhu®: Dark Corners of the Earth,2006-04-26,4.99,22340.0,Headfirst Productions
['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,14.99,22330.0,Bethesda Game Studios
['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,14.99,22320.0,Bethesda Game Studios
"['Open World', 'RPG', 'Fantasy', 'Singleplayer', 'Moddable', 'First-Person', 'Exploration', 'Adventure', 'Great Soundtrack', 'Action', 'Magic', 'Sandbox', 'Character Customization', 'Atmospheric', 'Story Rich', 'Medieval', 'Action RPG', 'Classic', 'Third Person', 'Dark Fantasy']",The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,2009-06-16,19.99,900883.0,Bethesda Game Studios®
['Adventure'],Ankh 2: Heart of Osiris,2007-05-18,4.99,12440.0,Deck 13
['Simulation'],Armored Fist 3,1999-09-01,9.99,32710.0,NovaLogic
['Simulation'],MiG-29 Fulcrum,1998-09-07,9.99,32740.0,NovaLogic
['Strategy'],BC Kings,2008-09-15,4.99,12460.0,Mascot Entertainment
['Action'],Call of Juarez®: Bound in Blood,2009-06-30,9.99,21980.0,Techland
['Adventure'],Nancy Drew®: Legend of the Crystal Skull,2007-10-01,6.99,31860.0,HeR Interactive
['Adventure'],Nancy Drew®: The Creature of Kapu Cave,2006-10-01,6.99,31900.0,HeR Interactive
['Adventure'],Nancy Drew®: The Phantom of Venice,2008-07-01,6.99,31920.0,HeR Interactive
['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,6.99,31930.0,HeR Interactive
"['Casual', 'Indie']",BRAINPIPE: A Plunge to Unhumanity,2008-12-24,0.0,35800.0,Digital Eel
"['Simulation', 'Sports']",Hunting Unlimited 2010,2009-07-07,9.99,12690.0,"ValuSoft, Retroism"
['Adventure'],Tales of Monkey Island Complete Pack,2009-07-07,19.99,31170.0,Telltale Games
['Action'],Street Fighter® IV,2009-07-07,19.99,21660.0,Capcom
"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']",Thrillville®: Off the Rails™,2007-10-09,9.99,6080.0,Frontier
['Adventure'],Indiana Jones® and the Fate of Atlantis™,1992-06-01,5.99,6010.0,LucasArts
['Action'],Armed and Dangerous®,2003-12-02,5.99,6090.0,Planet Moon Studios
['Action'],"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,9.99,6060.0,Pandemic Studios
['Adventure'],Indiana Jones® and the Last Crusade™,1989-07-01,5.99,32310.0,LucasArts
"['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,2008-06-03,19.99,32330.0,Traveller's Tales
['Adventure'],The Secret of Monkey Island: Special Edition,2009-07-15,9.99,32360.0,LucasArts
['Strategy'],Warfare,2008-11-20,12.99,35300.0,GFI Russia
"['Action', 'Racing']",Clutch,2009-06-02,9.99,35310.0,Targem Games
['Adventure'],Nancy Drew®: Ransom of the Seven Ships,2009-07-21,6.99,31980.0,HeR Interactive
